Text,Language
".Wir sind alle auf der Suche nach schnellen Wegen, um fließender Englisch zu sprechen.",German
"Ich weiß, ich verstehe, was passiert, ist, dass nur ein paar Worte unser Gehirn umkreisen und wir diese gesamte Unterhaltung mit einfach unglaublich cool oder episch führen müssen.",German
Wie wäre es also mit uns?,German
"Lernen Sie einige intelligente neue englische Wörter, die Sie in Ihrem täglichen Leben verwenden können, und erweitern Sie Ihren Wortschatz in wenigen Minuten.",German
"Also werden wir heute 10 neue intelligente Wörter lernen, deren Bedeutung Wurzelwörter und Beispielsätze sind.",German
"Also lasst uns loslegen, hey, das ist alles und ihr schaut zu.",German
und in diesem Video werde ich dir 10 kluge Worte für den täglichen Gebrauch und am Ende dieses Videos geben.,German
"Ich werde Ihnen auch einen intelligenten Tipp geben, um eine wirklich fließende intelligente Wortnummer zu klingen.",German
"man ist überflutet überflutet bedeutet ertrinken oder überfluten, aber überflutet wird oft im Zusammenhang mit Arbeiten wie i 'verwendet.",German
Ich bin mit Arbeit überfüllt Ich habe zu viel Arbeit zu tun Ich war die ganze Woche mit Arbeit überfüllt Ich hatte kaum Zeit zu atmen Jetzt schauen wir uns die Wurzel dieses Wortes an.,German
"Sumpf ist ein Stück Feuchtgebiet, und wenn jemand an der falschen Stelle auf einen Sumpf tritt, kann er leicht ertrinken, und die Verbform Sumpf bedeutet zu sinken.",German
"Hier erfahren Sie, wie Sie dieses Wort verwenden können.",German
"Nehmen wir an, Sie haben viele Aufgaben und es steht ein Test an, und Ihre Freunde kommen zu Ihnen und sagen: Hey, warum hängst du nicht mit uns ab?",German
"Du kannst ihnen sagen, dass es mir so leid tut, aber ich bin überfüllt mit Arbeit oder ich habe einige andere Wörter überflutet, die du anstelle von überfüllt verwenden kannst, wenn ich zu viel habe machen.",German
"Es ist zu viel auf meinem Teller, ich ertrinke in der Arbeit.",German
"Ich bin mit Aufgaben überhäuft Smart Word Nummer zwei ist Catch-22, jetzt bin ich sicher, dass Sie ' Ich habe dieses Wort gehört, bevor catch-22 eine unmögliche Situation bedeutet, in der Sie eine Sache nicht tun können, es sei denn, Sie haben die andere getan, und Sie können die andere nicht tun, weil Sie die erste nicht getan haben.",German
"Ich habe Sie verwirrt, also lassen Sie mich Ihnen einige Beispiele geben.",German
"Eine Situation, in der Sie keinen Job bekommen, ohne Berufserfahrung zu haben.",German
"Aber Sie können keine Erfahrung sammeln, bis Sie einen Job bekommen.",German
"catch-22 wurde von Joseph Heller in seinem berühmten gleichnamigen Buch catch-22 geprägt, als er einige widersprüchliche Regeln beschrieb, die für Soldaten während des Zweiten Weltkriegs galten.",German
"Ein weiteres Beispiel für Catch-22 ist, dass Sie einen Bankkredit benötigen, weil Sie nicht genug haben.",German
"Geld, aber Sie würden diesen Bankkredit nicht erhalten, wenn Sie der Bank nicht beweisen, dass Sie genug Geld haben, damit Sie sich das nächste Mal in einer schwierigen Situation befinden.",German
um das Wort catch-22 zu verwenden.,German
und erhalten Sie diese bewundernden Blicke von Ihren Freunden.,German
"Andere Wörter, die Sie anstelle von catch-22 verwenden können, sind paradoxe oder Dilemma-Smart-Wörter.",German
"Nummer drei ist höflich höflich höflich bedeutet, raffiniert zu sein, höflich und cool zu sein.",German
"Gut erzogen hat das Wort suave verschiedene Ursprünge, aber ein sehr interessanter Ursprung des Wortes ist das, was ein angenehmes oder süß schmeckendes Beispiel bedeutet.",German
"Er ist so ausgeglichen und höflich, besonders vor den Damen oder Barack Obama ist so höflich und poliert.",German
"Denken Sie daran, wenn Sie das nächste Mal auf einer Party sind und Sie diese Person sehen, die so ist.",German
gut erzogen und kultiviert und raffiniert.,German
"Vergiss nicht zu sagen, hey, wer dieser höfliche Typ da draußen in der Ecke ist, der dieses Wort benutzt, wird deinen Wortschatz sofort verbessern.",German
"sehr höflich, so kluges Wort Nummer vier ist grausam grausam das Wort grausam bedeutet etwas wirklich Schlimmes schrecklich schrecklich grausam entsetzlich beleidigend grausam hat eine lateinische Wurzel namens oder Gefangene werden behandelt.",German
"auf grausame Weise wird manchmal in Gefängnissen grausam auch im täglichen Leben verwendet, um über ein häufiges Fehlverhalten zu sprechen, und Sie möchten es übertreiben.",German
Zum Beispiel waren seine Tischmanieren grausam oder ihr Kleidungssinn ist so grausam oder seine Grammatik ist grausam.,German
"Wenn Sie das nächste Mal von einer schrecklichen Tat in den Nachrichten hören, denken Sie daran.",German
"bemerken und sagen, dass dies eine grausame Handlung ist.",German
